"代號","名稱","成交","漲跌價","漲跌幅","股利發放年度","除息交易日","現金股利","除息前價格","除息參考價","除息至今漲跌價","除息至今漲跌幅","填息貼息(元)","填息花費日數","除權交易日","股票股利","除權前價格","除權參考價","除權至今漲跌價","除權至今漲跌幅","填權貼權(元)","填權花費日數"
="0050","元大台灣50","129.45","+0.25","+0.19","2015","15'10/26","2","65.9","63.9","+65.55","+103","+63.55","168","","0","","","","","",""
="0051","元大中型100","69.75","+1","+1.45","2015","15'11/24","0.85","25.65","24.8","+44.95","+181","+44.1","4","","0","","","","","",""
="0052","富邦科技","117.7","+0.65","+0.56","2015","","0","","","","","","","","0","","","","","",""
="0053","元大電子","68.3","+0.5","+0.74","2015","15'11/24","0.9","27.26","26.36","+41.94","+159","+41.04","65","","0","","","","","",""
="0055","元大MSCI金融","23.21","+0.11","+0.48","2015","15'11/24","0.45","14.25","13.8","+9.41","+68.2","+8.96","238","","0","","","","","",""
="0056","元大高股息","34.3","+0.5","+1.48","2015","15'10/26","1","22.65","21.65","+12.65","+58.4","+11.65","84","","0","","","","","",""
="0057","富邦摩台","94.4","+0.3","+0.32","2015","","0","","","","","","","","0","","","","","",""
="0061","元大寶滬深","18.21","+0.06","+0.33","2015","","0","","","","","","","","0","","","","","",""
="006203","元大MSCI台灣","63.1","+0.25","+0.4","2015","15'11/24","1","30.42","29.42","+33.68","+114","+32.68","14","","0","","","","","",""
="006204","永豐臺灣加權","87.5","+0.5","+0.57","2015","15'10/27","1.55","45.29","43.74","+43.76","+100","+42.21","178","","0","","","","","",""
="006205","富邦上証","30.21","+0.1","+0.33","2015","","0","","","","","","","","0","","","","","",""
="006206","元大上證50","28.8","+0.15","+0.52","2015","","0","","","","","","","","0","","","","","",""
="006207","復華滬深","23.96","+0.05","+0.21","2015","","0","","","","","","","","0","","","","","",""
="006208","富邦台50","74.95","+0.1","+0.13","2015","15'10/29","0.84","37.34","36.49","+38.46","+105","+37.61","165","","0","","","","","",""
"00625K","富邦上証+R","6.98","0","0","","","","","","","","","","","","","","","","",""
"00631L","元大台灣50正2","136.4","+0.75","+0.55","2015","","0","","","","","","","","0","","","","","",""
"00632R","元大台灣50反1","4.78","-0.03","-0.62","2015","","0","","","","","","","","0","","","","","",""
"00633L","富邦上証正2","36.02","+0.11","+0.31","2015","","0","","","","","","","","0","","","","","",""
"00634R","富邦上証反1","4.62","-0.02","-0.43","2015","","0","","","","","","","","0","","","","","",""
"00635U","期元大S&P黃金","24.27","+0.15","+0.62","","","","","","","","","","","","","","","","",""
="00636","國泰中國A50","20.45","+0.06","+0.29","","","","","","","","","","","","","","","","",""
"00636K","國泰中國A50+U","6.57","+0.05","+0.77","","","","","","","","","","","","","","","","",""
"00637L","元大滬深300正2","14.29","+0.04","+0.28","","","","","","","","","","","","","","","","",""
"00638R","元大滬深300反1","9.71","-0.08","-0.82","","","","","","","","","","","","","","","","",""
="00639","富邦深100","12.03","0","0","","","","","","","","","","","","","","","","",""
"00640L","富邦日本正2","37.5","-0.34","-0.9","","","","","","","","","","","","","","","","",""
"00641R","富邦日本反1","8.24","+0.03","+0.37","","","","","","","","","","","","","","","","",""
"00642U","期元大S&P石油","15.8","+0.26","+1.67","","","","","","","","","","","","","","","","",""
="00643","群益深証中小","14.08","0","0","","","","","","","","","","","","","","","","",""
"00643K","群益深証中小+R","3.24","0","0","","","","","","","","","","","","","","","","",""
="00645","富邦日本","30.18","-0.19","-0.63","","","","","","","","","","","","","","","","",""
="00646","元大S&P500","43.19","+0.17","+0.4","","","","","","","","","","","","","","","","",""
"00647L","元大S&P500正2","64.05","+0.75","+1.18","","","","","","","","","","","","","","","","",""
"00648R","元大S&P500反1","6.62","-0.03","-0.45","","","","","","","","","","","","","","","","",""
"00650L","復華香港正2","12.07","+0.16","+1.34","","","","","","","","","","","","","","","","",""
"00651R","復華香港反1","8.66","-0.09","-1.03","","","","","","","","","","","","","","","","",""
="00652","富邦印度","32.52","0","0","","","","","","","","","","","","","","","","",""
"00653L","富邦印度正2","49.24","-0.09","-0.18","","","","","","","","","","","","","","","","",""
"00654R","富邦印度反1","7.49","0","0","","","","","","","","","","","","","","","","",""
"00655L","國泰中國A50正2","25.28","+0.16","+0.64","","","","","","","","","","","","","","","","",""
"00656R","國泰中國A50反1","8.66","-0.08","-0.92","","","","","","","","","","","","","","","","",""
="00657","國泰日經225","38.12","-0.09","-0.24","","","","","","","","","","","","","","","","",""
"00657K","國泰日經225+U","12.21","+0.02","+0.16","","","","","","","","","","","","","","","","",""
="00660","元大歐洲50","31.11","0","0","","","","","","","","","","","","","","","","",""
="00661","元大日經225","40.88","-0.25","-0.61","","","","","","","","","","","","","","","","",""
="00662","富邦NASDAQ","61","+0.2","+0.33","","","","","","","","","","","","","","","","",""
"00663L","國泰臺灣加權正2","126.3","+0.95","+0.76","","","","","","","","","","","","","","","","",""
"00664R","國泰臺灣加權反1","5.39","-0.02","-0.37","","","","","","","","","","","","","","","","",""
"00665L","富邦恒生國企正2","7.51","+0.15","+2.04","","","","","","","","","","","","","","","","",""
"00666R","富邦恒生國企反1","15.14","-0.18","-1.17","","","","","","","","","","","","","","","","",""
="00668","國泰美國道瓊","38.9","+0.23","+0.59","","","","","","","","","","","","","","","","",""
"00668K","國泰美國道瓊+U","12.44","+0.12","+0.97","","","","","","","","","","","","","","","","",""
"00669R","國泰美國道瓊反1","7.89","-0.07","-0.88","","","","","","","","","","","","","","","","",""
"00670L","富邦NASDAQ正2","86.6","+1","+1.17","","","","","","","","","","","","","","","","",""
"00671R","富邦NASDAQ反1","4.83","-0.01","-0.21","","","","","","","","","","","","","","","","",""
"00673R","期元大S&P原油反1","8.81","-0.19","-2.11","","","","","","","","","","","","","","","","",""
"00674R","期元大S&P黃金反1","12.34","-0.09","-0.72","","","","","","","","","","","","","","","","",""
"00675L","富邦臺灣加權正2","55.1","+0.35","+0.64","","","","","","","","","","","","","","","","",""
"00676R","富邦臺灣加權反1","2.98","-0.01","-0.33","","","","","","","","","","","","","","","","",""
="00678","群益NBI生技","25.56","+0.04","+0.16","","","","","","","","","","","","","","","","",""
"00680L","元大美債20正2","10.56","+0.04","+0.38","","","","","","","","","","","","","","","","",""
